Shree Birendra Hospital	Kathmandu	https://www.google.com/search?rlz=1C1CHBD_enNP892NP892&sxsrf=ALeKk00sIAtw9_Ai68AKU2KosyUJNcbKYA%3A1586181084729&ei=3DOLXsyOLLSH4-EPmY2L8Ag&q=Shree+Birendra+Hospital&oq=Shree+Birendra+Hospital&gs_lcp=CgZwc3ktYWIQAzICCAAyBggAEBYQHjIGCAAQFhAeMgYIABAWEB4yBQgAEMsBMgUIABDLAToECAAQR0oJCBcSBTEyLTg5SggIGBIEMTItMlDVQFjVQGDiRGgAcAF4AIABoQGIAaEBkgEDMC4xmAEAoAECoAEBqgEHZ3dzLXdpeg&sclient=psy-ab&ved=0ahUKEwjM7OqA-dPoAhW0wzgGHZnGAo4Q4dUDCAw&uact=5
Bir Hospital	Kathmandu	https://www.google.com/search?rlz=1C1CHBD_enNP892NP892&sxsrf=ALeKk02Pn6-xEebPeWFLX8LlOWcpw3CjzA%3A1586181094595&ei=5jOLXpb8I7qV4-EP7P-hmAI&q=Bir+Hospital&oq=Bir+Hospital&gs_lcp=CgZwc3ktYWIQAzIFCAAQkQIyBAgAEEMyAggAMgQIABBDMgcIABAUEIcCMgQIABBDMgIIADICCAAyAggAMgIIADoECAAQR0oPCBcSCzEwLTE4OWcwZzE3SgwIGBIIMTAtMWcwZzFQqzxYqzxg1UBoAHABeACAAbABiAGwAZIBAzAuMZgBAKABAqABAaoBB2d3cy13aXo&sclient=psy-ab&ved=0ahUKEwiWh8WF-dPoAhW6yjgGHex_CCMQ4dUDCAw&uact=5
Civil Service Hospital	Kathmandu	https://www.google.com/search?rlz=1C1CHBD_enNP892NP892&sxsrf=ALeKk01vp-npAM43sewh7WmXbNCJwuaKHg%3A1586181104001&ei=7zOLXqvNPPyd4-EP98qwuAY&q=Civil+Service+Hospital&oq=Civil+Service+Hospital&gs_lcp=CgZwc3ktYWIQAzIHCAAQFBCHAjICCAAyAggAMgIIADICCAAyBwgAEBQQhwIyBQgAEMsBMgIIADICCAAyAggAOgQIABBHSg8IFxILMTAtMTZnMGcyMzNKDAgYEggxMC0xZzBnMVCFQFiFQGCSRmgAcAF4AIABvQGIAb0BkgEDMC4xmAEAoAECoAEBqgEHZ3dzLXdpeg&sclient=psy-ab&ved=0ahUKEwjrgIOK-dPoAhX8zjgGHXclDGcQ4dUDCAw&uact=5
Tribhuwan University Teaching Hospital	Kathmandu	https://www.google.com/search?rlz=1C1CHBD_enNP892NP892&sxsrf=ALeKk01xSCWMf3DjE8RHluYYprbRu7t4fg%3A1586181114069&ei=-jOLXoj3A-qR4-EP9vWqwAs&q=Tribhuwan+University+Teaching+Hospital&oq=Tribhuwan+University+Teaching+Hospital&gs_lcp=CgZwc3ktYWIQAzIECAAQQzIECAAQCjIFCAAQywEyBAgAEAoyCAgAEBYQChAeOgQIABBHSgkIFxIFMTItOThKCAgYEgQxMi0yUP0_WP0_YJVGaABwAXgAgAGqAYgBqgGSAQMwLjGYAQCgAQKgAQGqAQdnd3Mtd2l6&sclient=psy-ab&ved=0ahUKEwiI3OmO-dPoAhXqyDgGHfa6CrgQ4dUDCAw&uact=5
Patan Academy of Health Science	Lalitpur	https://www.google.com/search?rlz=1C1CHBD_enNP892NP892&sxsrf=ALeKk01D9tqjHkHLS6Lr1tsAc_MpGLFJpQ%3A1586181124031&ei=BDSLXrPAAeuE4-EPiPW66Aw&q=Patan+Academy+of+Health+Science&oq=Patan+Academy+of+Health+Science&gs_lcp=CgZwc3ktYWIQAzICCAAyAggAMgIIADICCAAyAggAMgIIADIFCAAQywEyBQgAEM0CMgUIABDNAjoECAAQR0oJCBcSBTEyLTkySggIGBIEMTItMlCKX1iKX2D0YmgAcAF4AIABngGIAZ4BkgEDMC4xmAEAoAECoAEBqgEHZ3dzLXdpeg&sclient=psy-ab&ved=0ahUKEwiz0smT-dPoAhVrwjgGHYi6Ds0Q4dUDCAw&uact=5
Pokhara Health Science Academy	Kaski	https://www.google.com/search?rlz=1C1CHBD_enNP892NP892&sxsrf=ALeKk00xVGSboG0AbTKZ7V3GMPpi6A5Fwg%3A1586181138026&ei=EjSLXrOaAaqJ4-EPnbO14AE&q=Pokhara+Health+Science+Academy&oq=Pokhara+Health+Science+Academy&gs_lcp=CgZwc3ktYWIQAzICCAAyBggAEBYQHjoECAAQR0oJCBcSBTEyLTg5SggIGBIEMTItMlCtNVitNWC0OWgAcAF4AIABmgGIAZoBkgEDMC4xmAEAoAECoAEBqgEHZ3dzLXdpeg&sclient=psy-ab&ved=0ahUKEwiz65-a-dPoAhWqxDgGHZ1ZDRwQ4dUDCAw&uact=5
Dhaulagiri Zonal Hospital	Baglung	https://www.google.com/search?rlz=1C1CHBD_enNP892NP892&sxsrf=ALeKk02OFXi-DZaRwPVywIpLu1wkz43m2A%3A1586181146417&ei=GjSLXqeKGaqR4-EPsMaXmAM&q=Dhaulagiri+Zonal+Hospital&oq=Dhaulagiri+Zonal+Hospital&gs_lcp=CgZwc3ktYWIQAzICCAAyBQgAEMsBOgQIABBHSgkIFxIFMTItODhKCAgYEgQxMi0yUP5MWP5MYL1QaABwAXgAgAGaAYgBmgGSAQMwLjGYAQCgAQKgAQGqAQdnd3Mtd2l6&sclient=psy-ab&ved=0ahUKEwin_5-e-dPoAhWqyDgGHTDjBTMQ4dUDCAw&uact=5
Koshi Zonal Hospital	Morang	https://www.google.com/search?rlz=1C1CHBD_enNP892NP892&sxsrf=ALeKk02QHwsqPbzPQBc3Qy148--1qEtJhA%3A1586181157869&ei=JTSLXpXONOGE4-EPnLy3kAs&q=Koshi+Zonal+Hospital&oq=Koshi+Zonal+Hospital&gs_lcp=CgZwc3ktYWIQAzICCAAyBggAEBYQHjIGCAAQFhAeMgUIABDLATIFCAAQywEyBQgAEMsBMgUIABDLAToECAAQR0oJCBcSBTEyLTkySggIGBIEMTItMlDhNFjhNGDhOGgAcAF4AIABmwGIAZsBkgEDMC4xmAEAoAECoAEBqgEHZ3dzLXdpeg&sclient=psy-ab&ved=0ahUKEwjV9Nqj-dPoAhVhwjgGHRzeDbIQ4dUDCAw&uact=5
Mechi Zonal Hospital	Jhapa	https://www.google.com/search?rlz=1C1CHBD_enNP892NP892&sxsrf=ALeKk01iN57TPofCgD3cTHjuIcKn9CRYBQ%3A1586181166403&ei=LjSLXuGjGLGf4-EPvtaP8AQ&q=Mechi+Zonal+Hospital&oq=Mechi+Zonal+Hospital&gs_lcp=CgZwc3ktYWIQAzICCAAyBAgAEEMyAggAMgYIABAWEB46BAgAEEdKCQgXEgUxMi05OEoICBgSBDEyLTJQ9SxY9Sxg8jJoAHABeACAAa4BiAGuAZIBAzAuMZgBAKABAqABAaoBB2d3cy13aXo&sclient=psy-ab&ved=0ahUKEwjh8uOn-dPoAhWxzzgGHT7rA04Q4dUDCAw&uact=5
B.P Koirala Institute of Health Sciences	Sunsari	https://www.google.com/search?rlz=1C1CHBD_enNP892NP892&sxsrf=ALeKk029W8VqARja08Q0VQAoEDV0dNAyTA%3A1586181173900&ei=NTSLXurPNu6E4-EP-c-8sAM&q=B.P+Koirala+Institute+of+Health+Sciences&oq=B.P+Koirala+Institute+of+Health+Sciences&gs_lcp=CgZwc3ktYWIQAzICCAAyBggAEBYQHjIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMgUIABDNAjoECAAQR0oKCBcSBjEyLTEwOEoICBgSBDEyLTJQ_TBY_TBgkzZoAHABeACAAbgBiAG4AZIBAzAuMZgBAKABAqABAaoBB2d3cy13aXo&sclient=psy-ab&ved=0ahUKEwiqvq2r-dPoAhVuwjgGHfknDzYQ4dUDCAw&uact=5
Mid-Western Regional Hospital	Surkhet	https://www.google.com/search?rlz=1C1CHBD_enNP892NP892&sxsrf=ALeKk02mYhLa-tkGsHFXTtmRrRFuLZ1sJQ%3A1586181182107&ei=PjSLXuuQBsrF4-EP6JqKwAI&q=Mid-Western+Regional+Hospital&oq=Mid-Western+Regional+Hospital&gs_lcp=CgZwc3ktYWIQAzICCAAyAggAMgIIADIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIGCAAQFhAeOgQIABBHSgkIFxIFMTItOTJKCAgYEgQxMi0yUOgwWOgwYMI2aABwAXgAgAGaAYgBmgGSAQMwLjGYAQCgAQKgAQGqAQdnd3Mtd2l6&sclient=psy-ab&ved=0ahUKEwjrp6Kv-dPoAhXK4jgGHWiNAigQ4dUDCAw&uact=5
Bharatpur Hospital	Chitawan	https://www.google.com/search?rlz=1C1CHBD_enNP892NP892&sxsrf=ALeKk00gneWTx3RsC2Dx2R87m98VYICrpA%3A1586181190181&ei=RjSLXpLUCr-c4-EPipCp2Ag&q=Bharatpur+Hospital&oq=Bharatpur+Hospital&gs_lcp=CgZwc3ktYWIQAzICCAAyAggAMgIIADICCAAyAggAMgIIADICCAAyAggAMgIIADICCAA6BAgjECc6BggAEAcQHjoECAAQHkoOCBcSCjExLTE3M2cxODFKCggYEgYxMS0xZzFQrC5YrC5g8zpoAHAAeACAAaABiAG-ApIBAzAuMpgBAKABAqABAaoBB2d3cy13aXo&sclient=psy-ab&ved=0ahUKEwiSj4-z-dPoAhU_zjgGHQpICosQ4dUDCAw&uact=5
Bhaktapur Hospital	Bhaktapur	https://www.google.com/search?rlz=1C1CHBD_enNP892NP892&sxsrf=ALeKk00hgQLLBnye_37ITL_hnoObbgR_aQ%3A1586181198822&ei=TjSLXqfoMeSb4-EP-e2T6AI&q=Bhaktapur+Hospital&oq=Bhaktapur+Hospital&gs_lcp=CgZwc3ktYWIQAzICCAAyAggAMgIIADICCAAyAggAMgIIADIFCAAQywEyBggAEBYQHjIGCAAQFhAeMgYIABAWEB46BAgAEEdKCggXEgYxMS0xMDBKCAgYEgQxMS0yUIcwWIcwYJI2aABwAXgAgAGkAYgBpAGSAQMwLjGYAQCgAQKgAQGqAQdnd3Mtd2l6&sclient=psy-ab&ved=0ahUKEwinx563-dPoAhXkzTgGHfn2BC0Q4dUDCAw&uact=5
Karnali Academy of Health Science	Jumla	https://www.google.com/search?rlz=1C1CHBD_enNP892NP892&sxsrf=ALeKk03Y9yy1PGLiUUeONaNNFa8eZETpvw%3A1586181206759&ei=VjSLXqz8Lcaf4-EPvZ6UgAk&q=Karnali+Academy+of+Health+Science&oq=Karnali+Academy+of+Health+Science&gs_lcp=CgZwc3ktYWIQAzICCAAyAggAMgIIADIGCAAQFhAeMgYIABAWEB4yBggAEBYQHjIFCAAQywE6BAgAEEdKDQgXEgkxMS00NmcxNjhKCggYEgYxMS0xZzFQ30VY30VggEtoAHABeACAAZwBiAGcAZIBAzAuMZgBAKABAqABAaoBB2d3cy13aXo&sclient=psy-ab&ved=0ahUKEwis_4K7-dPoAhXGzzgGHT0PBZAQ4dUDCAw&uact=5
Dhulikhel Hospital	Kabhrepalanchok	https://www.google.com/search?rlz=1C1CHBD_enNP892NP892&sxsrf=ALeKk035WUyF6R6epic93RXtgS4r_QO5Nw%3A1586181217481&ei=YTSLXvaIHe6X4-EPooqwgAQ&q=Dhulikhel+Hospital&oq=Dhulikhel+Hospital&gs_lcp=CgZwc3ktYWIQAzICCAAyAggAMgIIADICCAAyBQgAEMsBMgIIADICCAAyAggAMgUIABDLATICCAA6BAgAEEdKDQgXEgkxMS0xNzVnMTRKCggYEgYxMS0xZzFQ0UlY0Ulg7VNoAHABeACAAaMBiAGjAZIBAzAuMZgBAKABAqABAaoBB2d3cy13aXo&sclient=psy-ab&ved=0ahUKEwi2vZHA-dPoAhXuyzgGHSIFDEAQ4dUDCAw&uact=5
Vector Borne Disease Research and Training Center	Makawanpur	https://www.google.com/search?rlz=1C1CHBD_enNP892NP892&sxsrf=ALeKk03MiJrkDm3M4GQTrLdZmpbElrC5Sw%3A1586181229344&ei=bTSLXrzMFKPDpgeg0rjgBg&q=Vector+Borne+Disease+Research+and+Training+Center&oq=Vector+Borne+Disease+Research+and+Training+Center&gs_lcp=CgZwc3ktYWIQAzIGCAAQFhAeOgQIABBHSg0IFxIJMTEtMTZnMTYxSgoIGBIGMTEtMWcxULQuWLQuYN0zaABwAXgAgAGgAYgBoAGSAQMwLjGYAQCgAQKgAQGqAQdnd3Mtd2l6&sclient=psy-ab&ved=0ahUKEwj8tuXF-dPoAhWjoekKHSApDmwQ4dUDCAw&uact=5
National Public Health Laboratory	Kathmandu	https://www.google.com/search?rlz=1C1CHBD_enNP892NP892&sxsrf=ALeKk03kioR63YIudfo8UAq95RChwzwA0A%3A1586181236819&ei=dDSLXqjSMYGK4-EP9ZKskAU&q=National+Public+Health+Laboratory&oq=National+Public+Health+Laboratory&gs_lcp=CgZwc3ktYWIQAzICCAAyBwgAEBQQhwIyBQgAEMsBMgIIADICCAAyAggAMgIIADICCAAyAggAMgIIADoECCMQJ0oKCBcSBjEyLTE2NEoICBgSBDEyLTJQnDpYnDpg3z9oAHAAeACAAZgBiAGvApIBAzAuMpgBAKABAqABAaoBB2d3cy13aXo&sclient=psy-ab&ved=0ahUKEwio3K3J-dPoAhUBxTgGHXUJC1IQ4dUDCAw&uact=5
